	Voice1	Voice2	Voice3	Voice4	Voice5	Voice6	Voice7	Voice8
Mix								
	0.5	0.5	1	0.98	0.9	1	1	0.95

Filter1								
Type								
	0	0	1	2	1	1	1	1
Pitch								
	5.02	5.024	500	298	800	300	679	2100
Decayt								
	1	1	2.4	0.2	0.05	1.6	0.4	1.7
BandW								
	0.01	0.01	1	0.01	0.1	0.1	0.01	0.3
Gain								
	70	70	1	1	3	1	10	10

Filter2								
Type								
	0	0	1	2	2	1	1	2
Pitch								
	5.09	5.094	3000	451	7	1400	700	2270
Decayt								
	1	1	2	0.2	0.05	2	2	2
BandW								
	0.01	0.01	0.2	0.01	0.01	0.1	0.01	0.01
Gain								
	10	10	1	2	2	1	10	0.1

Filter3								
Type								
	0	0	1	2	2	1	1	2
Pitch								
	6.02	6.024	10.06	595	8	400	757	2648
Decayt								
	1	1	2	0.2	0.05	2	2	2
BandW								
	0.01	0.01	30	0.01	0.01	0.1	0.01	0.01
Gain								
	3	3	0	2	2	1	10	0.5

Filter4								
Type								
	0	0	1	2	2	2	1	2
Pitch								
	6.09	6.094	118	700	8.07	487	893	2800
Decayt								
	1	1	2	0.2	0.05	2	2	2
BandW								
	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Gain								
	1	1	0	2	2	0	10	0.1

Filter5								
Type								
	0	0	1	2	2	2	1	2
Pitch								
	7.02	7.02	135	1134	9	513	1134	4540
Decayt								
	1	1	2	0.2	0.05	2	2	2
BandW								
	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Gain								
	5	5	0	2	2	0	10	0.5

Filter6								
Type								
	0	0	1	2	2	2	1	2
Pitch								
	7.09	7.09	152	2800	9.02	522	1399	3027
Decayt								
	1	1	2	0.2	0.05	2	2	2
BandW								
	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Gain								
	5	5	0	1	2	0	10	0.1

Filter7								
Type								
	0	0	1	2	2	2	1	2
Pitch								
	8.02	8.02	6.01	3027	9.04	556	1513	3150
Decayt								
	1	1	2	0.2	0.05	2	2	2
BandW								
	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Gain								
	3	3	0	0.1	2	0	10	0.5

Filter8								
Type								
	0	0	1	2	2	2	2	2
Pitch								
	8.09	8.09	6.01	3500	9.055	595	1749	3500
Decayt								
	1	1	2	0.2	0.05	2	2	2
BandW								
	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Gain								
	1	1	0	0.1	2	0	1	0.1

Filter9								
Type								
	0	0	1	2	2	2	2	2
Pitch								
	9.02	9.02	6.01	4161	9.096	651	1891	4161
Decayt								
	1	1	2	0.2	0.05	2	2	2
BandW								
	0.01	0.01	0.01	0.01	1	0.1	0.1	0.5
Gain								
	1	1	0	0.1	2	0	1	0.1
